Submission_ID,Customer_ID,Batch_ID,Card_Type,Service_Level,Submission_Channel,Grader,Grader_Experience_Level,Submission_Date,Completion_Date,Turnaround_Days,Error,Error_Reason,Customer_Feedback_Score,Base_Grading_Fee,Autograph_Flag,Oversized_Flag,Relabel_Flag,Review_Flag,Recase_Flag,Total_Grading_Fee
S001,C2,B5,Sports,Base_No_Subgrades,Event,Dana,Junior,2025-01-04,2025-02-22,49,1,Label Error,1,14.95,0,0,0,0,0,14.95
S002,C1,B2,YuGiOh,Priority,Mail-In,Charlie,Mid,2025-02-23,2025-02-25,2,0,N/A,2,124.95,0,1,0,0,1,142.95
S003,C1,B4,Sports,Base_No_Subgrades,Mail-In,Alice,Senior,2025-02-15,2025-04-06,50,0,N/A,5,14.95,1,1,0,0,0,27.95
S004,C2,B4,Magic,Base_Subgrades,Mail-In,Charlie,Junior,2025-04-09,2025-05-28,49,0,N/A,2,17.95,1,1,0,1,0,40.95
S005,C3,B4,YuGiOh,Priority,Mail-In,Ethan,Senior,2025-03-23,2025-03-25,2,0,N/A,2,124.95,1,0,0,0,1,139.95
S006,C10,B3,Pokemon,Express,Event,Dana,Junior,2025-02-04,2025-02-11,7,0,N/A,4,79.95,1,0,1,0,0,94.95
S007,C10,B4,Magic,Priority,Online,Bob,Senior,2025-03-10,2025-03-13,3,0,N/A,5,124.95,1,0,0,0,0,129.95
S008,C7,B4,YuGiOh,Base_Subgrades,Event,Charlie,Mid,2025-04-12,2025-06-06,55,0,N/A,5,17.95,0,0,1,1,0,37.95
S009,C5,B5,Pokemon,Standard,Event,Alice,Mid,2025-02-25,2025-03-18,21,1,Data Entry Error,5,34.95,0,0,1,0,0,44.95
S010,C6,B3,Pokemon,Priority,Online,Bob,Junior,2025-02-11,2025-02-14,3,1,N/A,1,124.95,0,1,0,0,0,132.95
S011,C10,B4,Pokemon,Express,Event,Bob,Mid,2025-03-12,2025-03-20,8,0,N/A,3,79.95,1,1,1,1,0,112.95
S012,C9,B2,Pokemon,Base_Subgrades,Online,Alice,Mid,2025-01-29,2025-03-16,46,1,Label Error,2,17.95,0,0,1,0,0,27.95
S013,C10,B5,YuGiOh,Standard,Online,Dana,Junior,2025-03-27,2025-04-19,23,0,N/A,4,34.95,0,0,0,1,1,54.95
